#=#=#=#=# Propagation starts 2022-01-31T17:09:40Z (last step: 578 msec , total: 578 msec) 
#=#=#=# Syncrun finished 2022-01-31T17:09:40Z (last step: 9 msec , total: 588 msec) 
#=#=#=# Syncrun started  2022-01-31T19:09:44Z 
#=#=#=#=# Propagation starts 2022-01-31T19:09:45Z (last step: 400 msec , total: 400 msec) 
#=#=#=# Syncrun finished 2022-01-31T19:09:45Z (last step: 10 msec , total: 411 msec) 
#=#=#=# Syncrun started  2022-01-31T21:09:49Z 
#=#=#=#=# Propagation starts 2022-01-31T21:09:49Z (last step: 110 msec , total: 110 msec) 
#=#=#=# Syncrun finished 2022-01-31T21:09:49Z (last step: 9 msec , total: 119 msec) 
#=#=#=# Syncrun started  2022-01-31T23:09:54Z 
#=#=#=#=# Propagation starts 2022-01-31T23:09:54Z (last step: 122 msec , total: 122 msec) 
#=#=#=# Syncrun finished 2022-01-31T23:09:54Z (last step: 8 msec , total: 131 msec) 
#=#=#=# Syncrun started  2022-02-01T01:09:59Z 
#=#=#=#=# Propagation starts 2022-02-01T01:09:59Z (last step: 179 msec , total: 179 msec) 
#=#=#=# Syncrun finished 2022-02-01T01:09:59Z (last step: 8 msec , total: 187 msec) 
#=#=#=# Syncrun started  2022-02-01T03:10:04Z 
#=#=#=#=# Propagation starts 2022-02-01T03:10:05Z (last step: 782 msec , total: 782 msec) 
#=#=#=# Syncrun finished 2022-02-01T03:10:05Z (last step: 8 msec , total: 790 msec) 
#=#=#=# Syncrun started  2022-02-01T05:10:09Z 
#=#=#=#=# Propagation starts 2022-02-01T05:10:10Z (last step: 425 msec , total: 425 msec) 
#=#=#=# Syncrun finished 2022-02-01T05:10:10Z (last step: 8 msec , total: 433 msec) 
#=#=#=# Syncrun started  2022-02-01T07:10:14Z 
#=#=#=#=# Propagation starts 2022-02-01T07:10:14Z (last step: 298 msec , total: 298 msec) 
#=#=#=# Syncrun finished 2022-02-01T07:10:15Z (last step: 9 msec , total: 307 msec) 
#=#=#=# Syncrun started  2022-02-01T09:10:19Z 
#=#=#=#=# Propagation starts 2022-02-01T09:10:20Z (last step: 341 msec , total: 341 msec) 
#=#=#=# Syncrun finished 2022-02-01T09:10:20Z (last step: 8 msec , total: 350 msec) 
#=#=#=# Syncrun started  2022-02-01T11:10:24Z 
#=#=#=#=# Propagation starts 2022-02-01T11:10:24Z (last step: 237 msec , total: 237 msec) 
#=#=#=# Syncrun finished 2022-02-01T11:10:24Z (last step: 8 msec , total: 246 msec) 
#=#=#=# Syncrun started  2022-02-01T13:10:29Z 
#=#=#=#=# Propagation starts 2022-02-01T13:10:29Z (last step: 286 msec , total: 286 msec) 
#=#=#=# Syncrun finished 2022-02-01T13:10:29Z (last step: 8 msec , total: 295 msec) 
#=#=#=# Syncrun started  2022-02-01T15:10:34Z 
#=#=#=#=# Propagation starts 2022-02-01T15:10:34Z (last step: 226 msec , total: 226 msec) 
#=#=#=# Syncrun finished 2022-02-01T15:10:34Z (last step: 40 msec , total: 267 msec) 
#=#=#=# Syncrun started  2022-02-01T17:10:39Z 
#=#=#=#=# Propagation starts 2022-02-01T17:10:39Z (last step: 184 msec , total: 184 msec) 
#=#=#=# Syncrun finished 2022-02-01T17:10:39Z (last step: 83 msec , total: 268 msec) 
#=#=#=# Syncrun started  2022-02-01T19:10:44Z 
#=#=#=#=# Propagation starts 2022-02-01T19:10:45Z (last step: 459 msec , total: 459 msec) 
#=#=#=# Syncrun finished 2022-02-01T19:10:45Z (last step: 9 msec , total: 469 msec) 
#=#=#=# Syncrun started  2022-02-01T21:10:49Z 
#=#=#=#=# Propagation starts 2022-02-01T21:10:49Z (last step: 120 msec , total: 120 msec) 
#=#=#=# Syncrun finished 2022-02-01T21:10:49Z (last step: 8 msec , total: 129 msec) 
#=#=#=# Syncrun started  2022-02-01T23:10:54Z 
#=#=#=#=# Propagation starts 2022-02-01T23:10:54Z (last step: 154 msec , total: 154 msec) 
#=#=#=# Syncrun finished 2022-02-01T23:10:54Z (last step: 8 msec , total: 162 msec) 
#=#=#=# Syncrun started  2022-02-02T01:10:59Z 
#=#=#=#=# Propagation starts 2022-02-02T01:11:00Z (last step: 320 msec , total: 320 msec) 
#=#=#=# Syncrun finished 2022-02-02T01:11:00Z (last step: 8 msec , total: 328 msec) 
